Site,Dist,Site name,Start,End,Lat,Lon,STA
4015,4,HILLSIDE STATION,1917,..,-21.7219,119.3989,WA
4016,4,INDEE,1909,..,-20.7867,118.5972,WA
4017,4,STATION PEAK,1904,1911,-21.15,118.1,WA
4018,4,LIMESTONE,1925,1967,-21.1833,119.8167,WA
4019,4,MANDORA,1913,..,-19.7419,120.8433,WA
4020,4,MARBLE BAR COMPARISON,1895,2006,-21.1756,119.7497,WA
4021,4,MOUNT EDGAR,1901,1999,-21.3122,120.0586,WA
4022,4,MUCCAN,1898,..,-20.6334,120.0863,WA
4023,4,MULYIE,1888,..,-20.4619,119.5189,WA
4024,4,MUNDABULLANGANA,1899,..,-20.5192,118.0603,WA
4025,4,NIMINGARRA,1909,1966,-20.5,119.8,WA
4026,4,NOREENA DOWNS,1911,..,-22.2914,120.1761,WA
4027,4,NULLAGINE,1897,2004,-21.8861,120.1103,WA
4028,4,PARDOO STATION,1904,..,-20.1078,119.5811,WA
4029,4,COORAGOORA,1954,..,-19.9604,120.2744,WA
4030,4,PILGA,1915,1961,-21.4,119.4,WA
4031,4,POINT SAMSON,1949,1984,-20.6267,117.1925,WA
4032,4,PORT HEDLAND AIRPORT,1942,..,-20.3725,118.6317,WA
4033,4,PYRAMID STATION,1951,..,-21.0561,117.4436,WA
4034,4,RPF 734 MILE,1913,1947,-22.0167,121.4,WA
4035,4,ROEBOURNE,1887,..,-20.7767,117.1456,WA
4036,4,STRELLEY,1906,..,-20.4681,119.0556,WA
4037,4,TALGA TALGA,1897,1970,-21.05,120,WA
4038,4,WALLAREENYA,1908,..,-20.7483,118.8172,WA
4039,4,WARAMBIE,1937,..,-20.9484,117.3732,WA
4040,4,WARRALONG,1899,1984,-20.6472,119.5869,WA
4041,4,WARRAWAGINE,1897,..,-20.8508,120.6961,WA
4042,4,WHIM CREEK,1897,..,-20.8414,117.8353,WA
4043,4,REDMONT,1925,2012,-21.9931,119.0131,WA
4044,4,WIDJUP OUTCAMP,1921,1948,-19.5,121.3,WA
4045,4,ABYDOS WOODSTOCK,1901,1997,-21.62,118.955,WA
4046,4,YARRIE,1898,..,-20.6739,120.2044,WA
